TABELA DE JOGOS;;;;;;;
DATA;HORÁRIO;MODALIDADE;LOCAL;JOGOS ;CONFRONTOS;;
;17:00;FUTSAL MASCULINO;GINÁSIO;JOGO 02;AZUL;X;VERMELHO
;17:30;BASQUETE (TRIO) MASCULINO;QUADRA EXTERNA;JOGO 02;AZUL;X;VERDE
;18:00;BASQUETE (TRIO) MASCULINO;QUADRA EXTERNA;3º LUGAR;;;
;18:00;FUTSAL FEMININO;GINÁSIO;JOGO 01;AZUL;X;VERMELHO
;18:30;BASQUETE (TRIO) MASCULINO;QUADRA EXTERNA;FINAL;;;
;19:00;FUTSAL FEMININO;GINÁSIO;JOGO 02;VERDE;X;AMARELO
sábado, 26 de setembro de 2026;08:00;TENIS DE QUADRA FEMININO;QUADRA DE TÊNIS;JOGO 01;VERDE;X;AZUL
;08:00;TENIS DE QUADRA MASCULINO;QUADRA DE TÊNIS;JOGO 01;AMARELO;X;VERDE
;09:00;NATAÇÃO 25 m RASOS FEMININO;PISCINA;PROVA;TODAS AS EQUIPE;;
;09:00;NATAÇÃO 25 m RASOS MASCULINO;PISCINA;PROVA;TODAS AS EQUIPE;;
;09:00;NATAÇÃO 4 X 25 m MISTO;PISCINA;PROVA;TODAS AS EQUIPE;;
;09:00;NATAÇÃO 50 m RASOS FEMININO;PISCINA;PROVA;TODAS AS EQUIPE;;
;09:00;NATAÇÃO 50 m RASOS MASCULINO;PISCINA;PROVA;TODAS AS EQUIPE;;
;09:00;TENIS DE QUADRA FEMININO;QUADRA DE TÊNIS;JOGO 02;AMARELO;X;VERMELHO
;09:00;TENIS DE QUADRA MASCULINO;QUADRA DE TÊNIS;JOGO 02;AZUL;X;VERMELHO
;09:00;VIDEO GAME FEMININO E MASCULINO;SALÃO DE EVENTOS - PISO SUPERIOR;JOGO 01;VERDE;X;AZUL
;09:00;VIDEO GAME FEMININO E MASCULINO;SALÃO DE EVENTOS - PISO SUPERIOR;JOGO 02;VERMELHO;X;AMARELO
;09:00;VIDEO GAME FEMININO E MASCULINO;SALÃO DE EVENTOS - PISO SUPERIOR;3º LUGAR;;;
;09:00;VIDEO GAME FEMININO E MASCULINO;SALÃO DE EVENTOS - PISO SUPERIOR;FINAL;;;
;09:00;XADREZ (LIVRE);SALA DE REUNIÕES -2º ANDAR;JOGO 01;VERDE;X;AZUL
;09:00;XADREZ (LIVRE);SALA DE REUNIÕES -2º ANDAR;JOGO 02;AMARELO;X;VERMELHO
;09:30;FUTEBOL MASCULINO CAMPO ACIMA 40 ANOS;CAMPO DE FUTEBOL / PISTA DE ATLETISMO;3º LUGAR;;;
;09:30;FUTEBOL SOCIETY FEMININO;CAMPO DE SOCIETY;3º LUGAR;;;
;10:00;TENIS DE QUADRA FEMININO;QUADRA DE TÊNIS;3º LUGAR;;;
;10:00;TENIS DE QUADRA MASCULINO;QUADRA DE TÊNIS;3º LUGAR;;;
;10:00;XADREZ (LIVRE);SALA DE REUNIÕES -2º ANDAR;3º LUGAR;;;
;10:00;XADREZ (LIVRE);SALA DE REUNIÕES -2º ANDAR;FINAL;;;
;10:30;FUTEBOL SOCIETY FEMININO;CAMPO DE SOCIETY;FINAL;;;
;11:00;TENIS DE QUADRA FEMININO;QUADRA DE TÊNIS;FINAL;;;
;11:00;TENIS DE QUADRA MASCULINO;QUADRA DE TÊNIS;FINAL;;;
;13:00;DAMA (LIVRE);HALL DE ENTRADA DO DEC;JOGO 01;VERMELHO;X;VERDE
;13:00;DAMA (LIVRE);HALL DE ENTRADA DO DEC;JOGO 02;AZUL;X;AMARELO
;13:00;FUTEVÔLEI FEMININO;QUADRA DE AREIA;JOGO 01;VERDE;X;AZUL
;13:00;SINUCA DUPLA FEMININO;HALL DE ENTRADA DO DEC;JOGO 01;AMARELO;X;VERDE
;13:00;SINUCA DUPLA FEMININO;HALL DE ENTRADA DO DEC;JOGO 02;VERMELHO;X;AZUL
;13:00;TENIS DE MESA FEMININO;HALL DE ENTRADA DO DEC;JOGO 01;AMARELO;X;VERDE
;13:00;TENIS DE MESA FEMININO;HALL DE ENTRADA DO DEC;JOGO 02;VERMELHO;X;AZUL
;13:30;FUTEVÔLEI FEMININO;QUADRA DE AREIA;JOGO 02;VERMELHO;X;AMARELO
;14:00;DAMA (LIVRE);HALL DE ENTRADA DO DEC;3º LUGAR;;;
;14:00;DAMA (LIVRE);HALL DE ENTRADA DO DEC;FINAL;;;
;14:00;DOMINÓ DUPLA (LIVRE);HALL DE ENTRADA DO DEC;JOGO 01;AZUL;X;VERMELHO
;14:00;DOMINÓ DUPLA (LIVRE);HALL DE ENTRADA DO DEC;JOGO 02;VERDE;X;AMARELO
;14:00;FUTEVÔLEI FEMININO;QUADRA DE AREIA;3º LUGAR;;;
;14:00;SINUCA DUPLA MASCULINO;HALL DE ENTRADA DO DEC;JOGO 01;AZUL;X;AMARELO
;14:00;SINUCA DUPLA MASCULINO;HALL DE ENTRADA DO DEC;JOGO 02;VERMELHO;X;VERDE
;14:00;TENIS DE MESA MASCULINO;HALL DE ENTRADA DO DEC;JOGO 01;AZUL;X;VERMELHO
;14:00;TENIS DE MESA MASCULINO;HALL DE ENTRADA DO DEC;JOGO 02;VERDE;X;AMARELO
;14:30;FUTEVÔLEI FEMININO;QUADRA DE AREIA;FINAL;;;
;15:00;DOMINÓ DUPLA (LIVRE);HALL DE ENTRADA DO DEC;3º LUGAR;;;
;15:00;DOMINÓ DUPLA (LIVRE);HALL DE ENTRADA DO DEC;FINAL;;;
;15:00;FUTEVÔLEI MASCULINO;QUADRA DE AREIA;JOGO 01;AMARELO;X;VERDE
;15:00;FUTSAL FEMININO;GINÁSIO;3º LUGAR;;;
;15:00;SINUCA DUPLA FEMININO;HALL DE ENTRADA DO DEC;3º LUGAR;;;
;15:00;SINUCA DUPLA FEMININO;HALL DE ENTRADA DO DEC;FINAL;;;
;15:00;TENIS DE MESA FEMININO;HALL DE ENTRADA DO DEC;3º LUGAR;;;
;15:00;TENIS DE MESA FEMININO;HALL DE ENTRADA DO DEC;FINAL;;;
;15:00;TENIS DE QUADRA MISTO DUPLA;QUADRA DE TÊNIS;JOGO 01;VERMELHO;X;VERDE
;15:00;TRUCO (mas);HALL DE ENTRADA DO DEC;JOGO 01;AZUL;X;VERDE
;15:00;TRUCO (mas);HALL DE ENTRADA DO DEC;JOGO 02;AMARELO;X;VERMELHO
;15:30;FUTEVÔLEI MASCULINO;QUADRA DE AREIA;JOGO 02;VERMELHO;X;AZUL
;16:00;FUTEVÔLEI MASCULINO;QUADRA DE AREIA;3º LUGAR;;;
;16:00;FUTSAL FEMININO;GINÁSIO;FINAL;;;
;16:00;SINUCA DUPLA MASCULINO;HALL DE ENTRADA DO DEC;3º LUGAR;;;
;16:00;SINUCA DUPLA MASCULINO;HALL DE ENTRADA DO DEC;FINAL;;;
;16:00;TENIS DE MESA MASCULINO;HALL DE ENTRADA DO DEC;3º LUGAR;;;
;16:00;TENIS DE MESA MASCULINO;HALL DE ENTRADA DO DEC;FINAL;;;
;16:00;TENIS DE QUADRA MISTO DUPLA;QUADRA DE TÊNIS;JOGO 02;AMARELO;X;AZUL
;16:00;TRUCO (mas);HALL DE ENTRADA DO DEC;3º LUGAR;;;
;16:00;TRUCO (mas);HALL DE ENTRADA DO DEC;FINAL;;;
;16:30;FUTEVÔLEI MASCULINO;QUADRA DE AREIA;FINAL;;;
;17:00;BASQUETE (TRIO) FEMININO;QUADRA EXTERNA;JOGO 01;AMARELO;X;AZUL
;17:00;FUTSAL MASCULINO;GINÁSIO;3º LUGAR;;;
;17:00;SINUCA INDIVIDUAL FEMININO;HALL DE ENTRADA DO DEC;JOGO 01;AMARELO;X;VERMELHO
;17:00;SINUCA INDIVIDUAL FEMININO;HALL DE ENTRADA DO DEC;JOGO 02;VERDE;X;AZUL
;17:00;TENIS DE QUADRA MISTO DUPLA;QUADRA DE TÊNIS;3º LUGAR;;;
;17:00;TRUCO (fem);HALL DE ENTRADA DO DEC;JOGO 01;VERMELHO;X;AZUL
;17:00;TRUCO (fem);HALL DE ENTRADA DO DEC;JOGO 02;VERDE;X;AMARELO
;17:30;BASQUETE (TRIO) FEMININO;QUADRA EXTERNA;JOGO 02;VERMELHO;X;VERDE
;18:00;BASQUETE (TRIO) FEMININO;QUADRA EXTERNA;3º LUGAR;;;
;18:00;FUTSAL MASCULINO;GINÁSIO;FINAL;;;
;18:00;SINUCA INDIVIDUAL FEMININO;HALL DE ENTRADA DO DEC;3º LUGAR;;;
;18:00;SINUCA INDIVIDUAL FEMININO;HALL DE ENTRADA DO DEC;FINAL;;;
;18:00;TENIS DE QUADRA MISTO DUPLA;QUADRA DE TÊNIS;FINAL;;;
;18:00;TRUCO (fem);HALL DE ENTRADA DO DEC;3º LUGAR;;;
;18:00;TRUCO (fem);HALL DE ENTRADA DO DEC;FINAL;;;
;18:30;BASQUETE (TRIO) FEMININO;QUADRA EXTERNA;FINAL;;;
;19:00;SINUCA INDIVIDUAL MASCULINO;HALL DE ENTRADA DO DEC;JOGO 01;VERDE;X;AMARELO
;19:00;SINUCA INDIVIDUAL MASCULINO;HALL DE ENTRADA DO DEC;JOGO 02;AZUL;X;VERMELHO
;20:00;SINUCA INDIVIDUAL MASCULINO;HALL DE ENTRADA DO DEC;3º LUGAR;;;
;20:00;SINUCA INDIVIDUAL MASCULINO;HALL DE ENTRADA DO DEC;FINAL;;;
domingo, 27 de setembro de 2026;08:00;CORRIDA DE RUA (LIVRE);RUA ;PROVA;TODAS AS EQUIPE;;
;09:00;FUTEBOL MASCULINO CAMPO ACIMA 40 ANOS;CAMPO DE FUTEBOL / PISTA DE ATLETISMO;FINAL;;;
;09:30;VÔLEI DE QUADRA FEMININO;GINÁSIO;FINAL;;;
;10:30;VÔLEI DE QUADRA MASCULINO;GINÁSIO;FINAL;;;
;11:30;FUTEBOL SOCIETY MASCULINO ATÉ 39 ANOS;CAMPO DE SOCIETY;3º LUGAR;;;
;12:30;FUTEBOL SOCIETY MASCULINO ATÉ 39 ANOS;CAMPO DE SOCIETY;FINAL;;;
